tconst,averagerating,numvotes,directors,writers
tt2866014,7.6,11,nm3640179,nm3640179
tt2871482,7.2,575,nm1982961,nm1958293
tt2872724,4.8,3691,nm1589515,"nm1942197,nm0665041,nm1883612"
tt2876438,4.1,140,nm1475830,nm1475830
tt2879386,7.0,5,nm4285196,"nm4509323,nm4285196"
tt2891070,6.8,2373,nm1662707,"nm0159262,nm1928581,nm1688137,nm1662707,nm8303902"
tt2901548,5.9,907,nm1727100,nm1727100
tt2908352,7.0,10,nm5032583,nm5032583
tt2910274,6.8,21536,nm3521871,"nm3521871,nm3505289,nm3831085,nm2210641,nm0543283"
tt2910342,5.8,765,nm1726262,nm1726262
tt2915160,7.1,1907,nm2113089,"nm2113089,nm5674899"
tt2924392,5.3,2152,nm2048913,"nm0265420,nm2048913"
tt2924438,6.8,12,nm5679236,nm5679236
tt2926790,5.3,99,nm0929093,"nm0798201,nm5681265"
tt2926810,5.4,7402,"nm0560277,nm8060038,nm2377660,nm1730404,nm3609300,nm3609341,nm0038896,nm1027986,nm0095321,nm1486025,nm3043504,nm2376614,nm0275244,nm1402202,nm3042028,nm1671995,nm1152178,nm3009132,nm0737442,nm0707963,nm0687739,nm2101710,nm1414810,nm3522076,nm2725627,nm4142927,nm1289234,nm0554890,nm4055378,nm0622112,nm1854288","nm0863807,nm3616958,nm1027986,nm1402202,nm1152178,nm1486025,nm2504122,nm1671995,nm1361864,nm0560277,nm1161528,nm0707963,nm3043504,nm3042028,nm2101710,nm8027178,nm0095321,nm0275244,nm4055378,nm0737442,nm0038896,nm3314549,nm0554890,nm3609341,nm3609300,nm0622112,nm3009132,nm3664419,nm2860882,nm2377660,nm2376614,nm1730404,nm1854288"
tt2926924,4.2,143,nm4363817,nm4363817
tt2934644,7.7,47,nm2655736,"nm2741691,nm2655736"
tt2935046,7.6,22,"nm5689940,nm5690643","nm5690643,nm5689940"
tt2937080,5.4,30,nm2414185,nm2414185
tt2939630,7.3,15,nm4304014,nm4304014
tt2939898,5.8,151,nm2289322,"nm1223910,nm2289322,nm0004470"
tt2941330,6.6,516,nm1490101,"nm1490101,nm2087865"
tt2950224,6.8,8,nm2794134,"nm2794134,nm5703752,nm5764141"
tt2960218,5.3,190,nm2048922,nm2048922
tt2964120,7.5,1906,nm0944937,"nm3627980,nm0944937"
tt2964622,6.6,14,nm1449395,"nm1449395,nm4750158"
tt2973730,4.4,11,nm3789488,nm2397874
tt2973854,5.1,601,nm4813513,"nm4813513,nm3079991"
tt2974454,4.8,40,nm0335242,"nm0942036,nm0335242"
tt2979414,5.2,82,nm0698964,nm0698964
tt2986122,6.7,474,nm1189743,"nm0299134,nm1191785"
tt2986430,6.9,17,nm3449426,"nm3451363,nm3373484,nm3449426"
tt2986768,6.4,315,nm2254150,nm2254150
tt2987980,7.5,10,nm2991303,"nm2991303,nm3059139,nm2402717"
tt2988068,1.2,57,nm4407114,nm4407114
tt2989350,6.4,1072,nm2555107,nm2555107
tt2991468,7.0,8,nm0432629,nm0432629
tt2994626,2.7,17,nm5743946,nm5743946
